Country,NO2
DNK,-4.610651018878588e-06
FIN,-5.425764138851346e-07
SWE,-9.787406737819403e-07
CZE,4.2547767102965944e-06
AUT,1.6793992904343502e-07
BEL,1.0611751434529045e-05
PER,2.599966869000717e-07
ARG,-1.0518529748766528e-06
CAN,-6.167511438045255e-07
BRA,-3.8488475586116334e-07
COL,-2.3193404742548138e-07
USA,-9.99512536538049e-07
MEX,-9.959496736604792e-07
BOL,-2.5471482422452796e-07
ECU,3.6213617509639397e-07
FRA,1.8646873051933202e-06
CHN,4.2497933250828515e-07
VEN,-2.170798305583979e-10
GTM,-5.414358092354813e-08
ESP,1.4583184026123224e-06
ITA,5.581795357287998e-07
BGR,-1.606860375128853e-07
RUS,-5.569915446661513e-07
DEU,2.1550201536816297e-07
BGD,9.906250143357907e-07
IND,1.2346821791538018e-06
JPN,1.7682783984641066e-06
IRN,2.9205094344141063e-07
