,State,Vector,cluster,PCA
0,ARG,[3.0227284 0.        7.6678205 1.8863149 2.1413417],0,[-2.85308947e+00  2.18236601e-03]
1,CAN,[0.         0.         0.718522   0.4593292  0.31887698],-1,[ 4.93135441 -1.14715198]
2,BRA,[0.44072217 0.         3.7425852  0.         3.1115477 ],-1,[ 1.61708873 -0.60209258]
3,COL,[3.0709355 0.        6.852683  1.8441598 2.4940531],0,[-2.15228126  0.48424476]
4,USA,[3.3148425 0.        3.0929523 0.        3.2011125],-1,[1.58847075 1.55763056]
5,MEX,[2.9732406 0.        7.582064  1.909247  2.1004221],0,[-2.75987319 -0.01319445]
6,DNK,[1.0835252  0.         5.8382535  0.99281025 1.0786545 ],1,[-0.34428482 -1.57350059]
7,FIN,[4.1610804 0.        5.4293375 3.4562204 4.453313 ],-1,[-1.7403785   3.39104553]
8,SWE,[2.068287   0.         5.594589   1.6126152  0.55701214],1,[-0.37115535 -0.86580211]
9,CZE,[2.5922053 0.        0.2406908 2.3250499 2.4026747],-1,[4.05692842 2.59166382]
10,AUT,[3.0098417 0.        7.661583  1.8817163 2.1184952],0,[-2.83950837 -0.01816055]
11,BEL,[0.4232516 0.        5.7233167 2.1405265 3.238977 ],1,[-0.71480194 -0.35029822]
12,BGD,[1.4911692  0.         4.8974175  0.70879483 3.8977027 ],1,[0.02000746 0.39900847]
13,IND,[2.813633  0.        6.4293814 1.6332736 2.1921058],0,[-1.60257887  0.21395169]
14,JPN,[1.6286271 0.        1.4752723 0.        1.0640702],-1,[ 3.83935119 -0.12938786]
15,IRN,[2.981103  0.        7.52617   1.8855861 2.0739467],0,[-2.69955796 -0.01256165]
16,ESP,[0.         0.         4.047858   0.60886633 0.72041905],-1,[ 1.71133895 -2.01744377]
17,ITA,[0.35339427 0.         4.1494255  0.         1.0047305 ],-1,[ 1.62080299 -1.91848025]
18,BGR,[2.8193243 0.        7.190224  1.5193877 2.2239897],0,[-2.29756465 -0.07363975]
19,RUS,[3.8139725  0.         0.         1.0265399  0.68960357],-1,[4.59372776 2.03555249]
20,CHN,[2.9915884 0.        7.647288  1.9356478 2.1398923],0,[-2.83743749  0.00821379]
21,DEU,[1.190622  0.        5.920758  1.0684527 0.7142525],1,[-0.39763258 -1.69407377]
22,ECU,[3.3686504 0.        6.4391875 4.1549635 3.1187255],-1,[-2.43271047  2.10031426]
23,FRA,[1.8535903 0.        5.832732  0.8708844 0.637741 ],1,[-0.40295495 -1.34968562]
24,GTM,[1.4212751 0.        0.6838169 1.2063564 1.3921758],-1,[4.31015214 0.67486305]
25,PER,[3.018967  0.        7.656222  1.9084547 2.148085 ],0,[-2.84732504  0.01634839]
26,VEN,[0.9989267  0.         4.5988784  0.9495826  0.15821862],-1,[ 1.00391212 -1.709546  ]
